# file...... line19.csv
# date...... Wed Mar 20 13:02:44 2019
# user...... xiej204
# host...... (null)
# target.... underground_line 132
# trigger... (none)
# interval.. 1
# limit..... 1000
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag
2010-01-01 00:00:00 EST,-1.80961e-006,-2.20971e-008,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:01 EST,+3.73632e-006,+8.67586e-007,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:02 EST,-7.4525e-006,-1.81355e-006,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:03 EST,+1.3167e-005,-1.88221e-006,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:04 EST,+5.98705e-006,-1.275e-005,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:05 EST,+9.42032e-006,-5.21058e-006,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:06 EST,+1.06858e-005,-3.81197e-006,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:07 EST,+3.03657e-006,-8.53351e-006,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:08 EST,-1.35985e-005,-6.64148e-006,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:09 EST,-3.46534e-006,-6.33794e-006,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:10 EST,+1.12503e-005,-1.93571e-005,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:11 EST,-1.61723e-005,+1.75817e-006,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:12 EST,-1.46421e-005,+6.15461e-006,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:13 EST,-8.57361e-006,+1.18204e-005,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:14 EST,-8.58012e-006,-1.04109e-006,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:15 EST,+6.18113e-006,-7.17916e-006,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:16 EST,+1.49284e-005,-1.38761e-005,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:17 EST,+4.82586e-006,-1.39299e-005,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:18 EST,+2.3868e-006,+1.80751e-006,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:19 EST,+3.37871e-006,-1.04399e-005,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:20 EST,+3.45898e-006,-1.51782e-005,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:21 EST,-1.09964e-005,-5.76645e-006,+27280.7,-1349.24,+14381.6,+22166.3
2010-01-01 00:00:22 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:23 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:24 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:25 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:26 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:27 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:28 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:29 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:30 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:31 EST,+0,+0,+0,+0,+0,+0
2010-01-01 00:00:32 EST,-5.65785e-006,-4.40337e-006,+27280.7,-1349.23,+14381.6,+22166.4
2010-01-01 00:00:33 EST,+1.47119e-005,-1.62956e-005,+27280.7,-1349.24,+14381.6,+22166.3
