# file...... loads_volts_C.csv
# date...... Wed Mar 20 13:02:44 2019
# user...... xiej204
# host...... (null)
# group..... class=load
# property.. voltage_C
# limit..... 10000000
# interval.. 1
# timestamp,load701,load712,load713,load714,load718,load720,load722,load724,load725,load727,load728,load729,load730,load731,load732,load733,load734,load735,load736,load737,load738,load740,load741,load742,load744
2010-01-01 00:00:00 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.71681+2742.23j,-0.688714+2740.42j,-0.536597+2741.47j,+4.02827+2733.72j,+4.32054+2728.99j,+8.04887+2726.28j,+9.73904+2724.06j,+13.2805+2718.47j,+14.1421+2713.06j,+11.1357+2711.22j,+15.75+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4952+2751.32j,-0.563794+2741.45j
2010-01-01 00:00:01 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.71682+2742.23j,-0.688724+2740.42j,-0.536607+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563805+2741.45j
2010-01-01 00:00:02 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:03 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:04 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:05 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:06 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:07 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:08 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:09 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:10 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:11 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:12 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:13 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
