# file...... line27.csv
# date...... Wed Mar 20 13:02:44 2019
# user...... xiej204
# host...... (null)
# target.... underground_line 140
# trigger... (none)
# interval.. 1
# limit..... 1000
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag
2010-01-01 00:00:00 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:01 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:02 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:03 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:04 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:05 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:06 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:07 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:08 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:09 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:10 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:11 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:12 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:13 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:14 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:15 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:16 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:17 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:18 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:19 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:20 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:21 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:22 EST,-1.72196e-009,-2.20559e-008,+1.40505e-008,-8.25548e-009,+1.86504e-008,+1.0546e-008
2010-01-01 00:00:23 EST,+2.57662e-009,+1.06545e-008,+7.21139e-009,-8.84138e-009,+1.13988e-008,-5.68487e-009
2010-01-01 00:00:24 EST,+7.69438e-009,-3.79776e-009,+1.37048e-008,+2.56104e-008,+1.6213e-008,+1.33239e-008
2010-01-01 00:00:25 EST,-3.11269e-008,-3.7322e-010,-2.39812e-009,-3.90485e-009,-1.0253e-008,+1.51379e-008
2010-01-01 00:00:26 EST,-3.91731e-009,+9.33929e-009,+1.15746e-008,-1.73672e-009,-2.74501e-009,+1.87553e-008
2010-01-01 00:00:27 EST,-2.86034e-008,+1.42942e-008,-7.50115e-009,-4.43066e-009,-2.61743e-009,+8.09955e-009
2010-01-01 00:00:28 EST,-1.67502e-008,+4.23676e-009,+1.2545e-008,+1.36883e-008,-2.12706e-008,-6.62989e-009
2010-01-01 00:00:29 EST,+1.38364e-008,+9.73361e-010,+1.24421e-008,+1.85375e-008,+8.69793e-009,-1.47629e-008
2010-01-01 00:00:30 EST,-2.88504e-008,-6.51763e-009,-1.00062e-008,-7.26212e-010,-3.19741e-008,-2.41334e-009
2010-01-01 00:00:31 EST,-2.4786e-009,-5.01989e-010,+1.66536e-009,+2.7117e-009,-5.39841e-009,+9.32831e-009
2010-01-01 00:00:32 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:33 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:34 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:35 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:36 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:37 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:38 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:39 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:40 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:41 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:42 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:43 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:44 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:45 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:46 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:47 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:48 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:49 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:50 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:51 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:52 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:53 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:54 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:55 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:56 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:57 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:58 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:00:59 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:01:00 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
2010-01-01 00:01:01 EST,+336018,+142180,+211995,+184843,+233155,+52825.2
