# file...... voltage20.csv
# date...... Wed Mar 20 13:02:44 2019
# user...... xiej204
# host...... (null)
# target.... node 45
# trigger... (none)
# interval.. 1
# limit..... 1000
# timestamp,voltage_AB.real[kV],voltage_AB.imag[kV],voltage_BC.real[kV],voltage_BC.imag[kV],voltage_CA.real[kV],voltage_CA.imag[kV]
2010-01-01 00:00:00 EST,+4.79762 kV,+0.00205563 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:01 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:02 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:03 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:04 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:05 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:06 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:07 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:08 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:09 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:10 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:11 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:12 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:13 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:14 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:15 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:16 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:17 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:18 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:19 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:20 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:21 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:22 EST,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV
2010-01-01 00:00:23 EST,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV
2010-01-01 00:00:24 EST,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV
2010-01-01 00:00:25 EST,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV
2010-01-01 00:00:26 EST,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV
2010-01-01 00:00:27 EST,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV
2010-01-01 00:00:28 EST,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV
2010-01-01 00:00:29 EST,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV
2010-01-01 00:00:30 EST,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV
2010-01-01 00:00:31 EST,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV,+0 kV
2010-01-01 00:00:32 EST,+4.79762 kV,+0.00205566 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:33 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:34 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:35 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:36 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:37 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:38 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:39 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:40 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
2010-01-01 00:00:41 EST,+4.79762 kV,+0.00205564 kV,-2.44329 kV,-4.11381 kV,-2.35433 kV,+4.11175 kV
